Datetime,Open,High,Low,Close,Volume
2025-07-15 18:13:50.422618,2971.200490421075,1068.0921442964502,2829.176658445218,2301.2346637451456,3630
2025-07-15 19:13:50.422618,1454.8054681031454,1239.6376824302251,1985.9333240568476,1373.1542894012644,1491
2025-07-15 20:13:50.422618,1892.8027824419203,2888.8258351387567,1461.225481929342,2937.5670790098693,2773
2025-07-15 21:13:50.422618,1502.5821614798858,1581.6464417635455,2654.736917765372,2325.4649089641957,9934
2025-07-15 22:13:50.422618,1471.1576733879524,1848.020814241117,2063.2288759849835,1301.8425735973462,4363
2025-07-15 23:13:50.422618,1122.2287923580955,2661.084330297349,2732.5453613247673,2879.0801929913673,1915
2025-07-16 00:13:50.422618,2747.3410017025635,1925.7333238123526,2425.7330415391075,2250.657431488089,9901
2025-07-16 01:13:50.422618,1970.7583678209403,2930.456638712529,2201.79550846056,1080.0267555201679,4870
2025-07-16 02:13:50.422618,2720.725262606973,2183.2547212390546,2101.781362000682,2682.3471917605916,2328
2025-07-16 03:13:50.422618,1357.4679579674316,2157.959380460373,1861.3320011928304,2565.1067990166835,9058
2025-07-16 04:13:50.422618,1549.3699567629042,2177.4680226566757,1098.8509665593012,1539.6579157907177,3146
2025-07-16 05:13:50.422618,1610.298431602361,2743.326256652619,2945.223305739384,1643.3208544940298,3999
2025-07-16 06:13:50.422618,2909.8873594621177,2333.6482856454304,1074.8133940355337,2043.9576359166447,4957
2025-07-16 07:13:50.422618,1370.3088941550352,1925.3545302715943,2707.724016393382,2238.1334033033013,9313
2025-07-16 08:13:50.422618,2290.732616995788,2783.361334021558,1879.9199436166928,2494.835714215744,2191
2025-07-16 09:13:50.422618,1609.011126447509,1129.7419568720277,1960.961241171965,1505.9042341627473,8494
2025-07-16 10:13:50.422618,1721.7308112133876,2144.0407295693094,2019.1614033022415,2840.355841789325,7047
2025-07-16 11:13:50.422618,2330.7340656190463,1992.9949342091381,1322.786430218924,2928.809438978696,2948
2025-07-16 12:13:50.422618,1644.1570193218636,2906.9115632016255,1658.0235873617376,1608.6978262257367,1296
2025-07-16 13:13:50.422618,2330.659134317674,1047.3670361335421,1450.8253370111165,1283.5191577999144,4203
2025-07-16 14:13:50.422618,2102.4509149308446,2696.2558771135928,2151.2416152898686,1477.5369968747932,7797
2025-07-16 15:13:50.422618,1580.282959118533,1477.1706295954677,2668.733827835188,2933.3915821979845,1212
2025-07-16 16:13:50.422618,1481.9562301763833,2390.50436896585,2715.153126877553,2541.0321060211245,5250
2025-07-16 17:13:50.422618,1910.6488937666093,2335.295048719513,1477.0766632988439,1567.8929693355813,8212
2025-07-16 18:13:50.422618,1043.1978354443656,1918.9641521332533,1174.2538182817664,1535.3397452577633,1208
2025-07-16 19:13:50.422618,2778.8260361141656,1125.7853319240735,2725.479737129259,2533.389414755823,3670
2025-07-16 20:13:50.422618,1934.9416685193248,2629.6727359377073,1623.38222742974,2836.37821172611,8001
2025-07-16 21:13:50.422618,2105.143443522312,2248.7069218342576,2119.982437146229,1718.0107426832255,2303
2025-07-16 22:13:50.422618,2103.416354924105,2902.607898002182,1704.2189265291865,2145.8032581169205,2844
2025-07-16 23:13:50.422618,1141.6043895875418,1356.0501742670867,2418.438200788022,1112.6511321630799,1302
2025-07-17 00:13:50.422618,2766.816211578296,2618.802597861649,1892.0221500305581,2446.7100374942825,1212
2025-07-17 01:13:50.422618,1898.1537484736448,2812.5659358113217,1269.4703376857856,1095.0979199022604,7908
2025-07-17 02:13:50.422618,2223.6179615404835,2014.6712775460203,1288.8884433455883,1161.7612688450802,7431
2025-07-17 03:13:50.422618,1074.7433126887022,1320.9593308302578,2305.372081312525,1726.371657897107,5233
2025-07-17 04:13:50.422618,1855.676571685204,2624.624395668859,2521.5593217914748,1449.449310603155,3174
2025-07-17 05:13:50.422618,1121.9236939515138,2046.6060487192267,1082.5758632537065,1476.3022786239849,6187
2025-07-17 06:13:50.422618,1218.6503527706425,1660.9510351440654,2244.429221238911,2322.6502483760923,1727
2025-07-17 07:13:50.422618,2248.3403731724643,1550.5222800603074,2518.0745871541835,2822.506820500363,4575
2025-07-17 08:13:50.422618,2965.728009985257,2705.8645007695,1457.2603651049694,2306.9128588860513,1630
2025-07-17 09:13:50.422618,2471.290022720368,1191.962214462525,1674.0746113374166,2614.9059002613712,9931
2025-07-17 10:13:50.422618,2941.9412788694885,2909.4097677879117,2415.6051393028597,1834.3146287042107,7129
2025-07-17 11:13:50.422618,2071.0225526149334,2273.64828924439,2059.1528289680064,1916.750618796988,9103
2025-07-17 12:13:50.422618,2710.674867553548,2088.1769354525927,1027.5241491468362,2678.2650368575705,7921
2025-07-17 13:13:50.422618,2676.186674610821,2328.7632949040553,1350.4807642051146,2927.2938166433432,6761
2025-07-17 14:13:50.422618,1324.7818665735183,2216.6871608829974,1839.6850890292098,2525.0800324029715,3573
2025-07-17 15:13:50.422618,1344.9462272292908,1529.8788485747448,2732.772213371963,2742.2198080389044,6707
2025-07-17 16:13:50.422618,2579.0852633455165,1227.5487324140329,1186.802366579028,1254.9507339513088,6622
