Date,Open,High,Low,Close,Adj Close,Volume
Nov 28, 2024,1.4727,1.4889,1.4345,1.4493,1.4493,5,848,290,304
Nov 27, 2024,1.4013,1.5184,1.3573,1.4728,1.4728,7,766,481,602
Nov 26, 2024,1.4154,1.4565,1.2948,1.4013,1.4013,9,378,581,138
Nov 25, 2024,1.4324,1.5359,1.3643,1.4154,1.4154,11,517,571,350
Nov 24, 2024,1.4690,1.5091,1.3082,1.4324,1.4324,11,863,424,377
Nov 23, 2024,1.4690,1.6216,1.4275,1.4690,1.4690,15,468,388,183
Nov 22, 2024,1.2502,1.4969,1.2476,1.4690,1.4690,19,984,456,169
Nov 21, 2024,1.1023,1.2518,1.0821,1.2504,1.2504,10,451,562,188
Nov 20, 2024,1.1019,1.1466,1.0637,1.1023,1.1023,6,409,028,714
Nov 19, 2024,1.1179,1.1458,1.0738,1.1019,1.1019,5,884,163,705
Nov 18, 2024,1.0543,1.1833,1.0543,1.1179,1.1179,9,978,319,005
Nov 17, 2024,1.1191,1.1546,1.0055,1.0543,1.0543,12,066,098,151
Nov 16, 2024,0.8921,1.2567,0.8799,1.1191,1.1191,22,568,823,580
Nov 15, 2024,0.7730,0.9248,0.7726,0.8921,0.8921,11,738,281,623
Nov 14, 2024,0.6903,0.8452,0.6844,0.7730,0.7730,9,458,526,339
Nov 13, 2024,0.7076,0.7435,0.6426,0.6903,0.6903,7,773,620,799
Nov 12, 2024,0.6205,0.7354,0.5991,0.7077,0.7077,11,156,505,329
Nov 11, 2024,0.5894,0.6307,0.5720,0.6205,0.6205,4,066,959,667
Nov 10, 2024,0.5595,0.6160,0.5562,0.5894,0.5894,4,198,897,125
Nov 9, 2024,0.5541,0.5614,0.5451,0.5595,0.5595,1,238,578,019
Nov 8, 2024,0.5547,0.5597,0.5430,0.5541,0.5541,1,498,480,370
Nov 7, 2024,0.5424,0.5739,0.5384,0.5547,0.5547,1,889,112,043
Nov 6, 2024,0.5140,0.5466,0.5140,0.5424,0.5424,2,211,008,426
Nov 5, 2024,0.5032,0.5183,0.5020,0.5140,0.5140,1,027,346,174
Nov 4, 2024,0.5029,0.5138,0.4968,0.5032,0.5032,1,025,432,948
Nov 3, 2024,0.5099,0.5107,0.4937,0.5029,0.5029,940,842,891
Nov 2, 2024,0.5129,0.5157,0.5080,0.5099,0.5099,527,041,359
Nov 1, 2024,0.5092,0.5234,0.5046,0.5129,0.5129,1,284,409,586
